name,level,status,assumption,pk,ct,sk
X25519,0,0,Diffie-Hellman,32,32,32
SIKEp434,1,Alternate,SIDH,330,346,374
SIKEp503,2,Alternate,SIDH,378,402,434
SIKEp610,3,Alternate,SIDH,642,486,524
SIKEp751,5,Alternate,SIDH,564,596,644
SIKEp434-compressed,1,Alternate,SIDH,197,236,350
SIKEp503-compressed,2,Alternate,SIDH,225,280,407
SIKEp610-compressed,3,Alternate,SIDH,274,336,491
SIKEp751-compressed,5,Alternate,SIDH,335,410,602
Kyber512,1,Finalist,MLWE,800,768,1632
Kyber768,3,Finalist,MLWE,1184,1088,2400
Kyber1024,5,Finalist,MLWE,1568,1568,3168
mceliece348864,1,Finalist,McEliece,261120,128,6492
mceliece348864f,1,Finalist,McEliece,261120,128,6492
mceliece460896,3,Finalist,McEliece,524160,188,13608
mceliece460896f,3,Finalist,McEliece,524160,188,13608
mceliece6688128,5,Finalist,McEliece,1044992,240,13932
mceliece6688128f,5,Finalist,McEliece,1044992,240,13932
mceliece6960119,5,Finalist,McEliece,1047319,226,13948
mceliece6960119f,5,Finalist,McEliece,1047319,226,13948
mceliece8192128,5,Finalist,McEliece,1357824,240,14120
mceliece8192128f,5,Finalist,McEliece,1357824,240,14120
LightSABER,1,Finalist,MLWR,672,736,1568
SABER,3,Finalist,MLWR,992,1088,2304
FireSABER,5,Finalist,MLWR,1312,1472,3040
HQC-128,1,Alternate,QC codes,2249,4481,2289
HQC-192,3,Alternate,QC codes,4522,9026,4562
HQC-256,5,Alternate,QC codes,7245,14469,7285
NTRU-HPS-2048-509,1,Finalist,NTRU,699,699,935
NTRU-HPS-2048-677,3,Finalist,NTRU,930,930,1234
NTRU-HPS-4096-821,5,Finalist,NTRU,1230,1230,1590
NTRU-HRSS-701,3,Finalist,NTRU,1138,1138,1450
ntrulpr653,2,Alternate,NTRU,897,1025,1125
ntrulpr761,3,Alternate,NTRU,1039,1167,1294
ntrulpr857,4,Alternate,NTRU,1184,1312,1463
sntrup653,2,Alternate,NTRU,994,897,1518
sntrup761,3,Alternate,NTRU,1158,1039,1763
sntrup857,4,Alternate,NTRU,1322,1184,1999
BIKE1-L1-FO,1,Alternate,QC codes,2946,2946,6460
BIKE1-L3-FO,3,Alternate,QC codes,6206,6206,13236
FrodoKEM-640-AES,1,Alternate,LWE,9616,9720,19888
FrodoKEM-640-SHAKE,1,Alternate,LWE,9616,9720,19888
FrodoKEM-976-AES,3,Alternate,LWE,15632,15744,31296
FrodoKEM-976-SHAKE,3,Alternate,LWE,15632,15744,31296
FrodoKEM-1344-AES,5,Alternate,LWE,21520,21632,43088
FrodoKEM-1344-SHAKE,5,Alternate,LWE,21520,21632,43088
