display,name,level,status,assumption,pk,sig,sk
RSA-2048,RSA2048,0,Pre-quantum,RSA,272,256,9999
Dilithium2,Dilithium2,2,Selected,MLWE + MSIS,1312,2420,2528
Dilithium3,Dilithium3,3,Selected,MLWE + MSIS,1952,3293,4000
Dilithium5,Dilithium5,5,Selected,MLWE + MSIS,2592,4595,4864
Falcon-512,Falcon512,1,Selected,NTRU lattice,897,666,1281
Falcon-1024,Falcon1024,5,Selected,NTRU lattice,1793,1280,2305
\xmssmt,XMSSMTs,1,Custom,Hash-based,32,979,10000
SPHINCS\textsuperscript{+}-128f,SPHINCS+-128f,1,Selected,Hash-based,32,17088,64
SPHINCS\textsuperscript{+}-128s,SPHINCS+-128s,1,Selected,Hash-based,32,7856,64
SPHINCS\textsuperscript{+}-192f,SPHINCS+-192f,3,Selected,Hash-based,48,35664,96
SPHINCS\textsuperscript{+}-192s,SPHINCS+-192s,3,Selected,Hash-based,48,1622,96
SPHINCS\textsuperscript{+}-256f,SPHINCS+-256f,5,Selected,Hash-based,64,49856,128
SPHINCS\textsuperscript{+}-256s,SPHINCS+-256s,5,Selected,Hash-based,64,29792,128
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-128f-robust,1,Selected,Hash-based,32,17088,64
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-128f-simple,1,Selected,Hash-based,32,17088,64
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-128s-robust,1,Selected,Hash-based,32,7856,64
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-128s-simple,1,Selected,Hash-based,32,7856,64
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-192f-robust,3,Selected,Hash-based,48,35664,96
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-192f-simple,3,Selected,Hash-based,48,35664,96
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-192s-robust,3,Selected,Hash-based,48,1622,96
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-192s-simple,3,Selected,Hash-based,48,1622,96
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-256f-robust,5,Selected,Hash-based,64,49856,128
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-256f-simple,5,Selected,Hash-based,64,49856,128
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-256s-robust,5,Selected,Hash-based,64,29792,128
SPHINCS\textsuperscript{+},SPHINCS+-Haraka-256s-simple,5,Selected,Hash-based,64,29792,128
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-128f-robust,1,Selected,Hash-based,32,17088,64
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-128f-simple,1,Selected,Hash-based,32,17088,64
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-128s-robust,1,Selected,Hash-based,32,7856,64
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-128s-simple,1,Selected,Hash-based,32,7856,64
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-192f-robust,3,Selected,Hash-based,48,35664,96
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-192f-simple,3,Selected,Hash-based,48,35664,96
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-192s-robust,3,Selected,Hash-based,48,1622,96
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-192s-simple,3,Selected,Hash-based,48,1622,96
SPHINCS\textsuperscript{+},SPHINCS+-SHA2-256f-robust,5,Selected,Hash-based,64,49856,128
